site,year,plot_id,species_id,status,recruitment,lifeform,tse_count,tse_ht,tse_age,growth_lastyr,tsa_dbh,tsa_age,tsa_ht,tre_count,tre_ht,tre_dbh,tre_age,NOTES
,,,,,,,count,cm_of_tallest,year_of_tallest,cm,cm,year,m,count,m_of_tallest,cm_of_tallest,year_of_tallest,
springsfire,2019,springs8,pije,live,natural ,TSE,1,0.17,3,2,,,,,,,,
springsfire,2019,springs11,pije,live,natural ,TSE,3,0.03,0,0,,,,,,,,
springsfire,2019,springs11,pije,live,natural ,TSE,1,0.05,1,0,,,,,,,,
springsfire,2019,springs11,pije,live,natural ,TSE,1,0.06,2,0.5,,,,,,,,
springsfire,2019,springs12,pije,live,natural ,TSE,1,3,15,2,,,,,,,,
springsfire,2019,springs12,pije,live,natural ,TSE,6,3,0,,,,,,,,,
springsfire,2019,springs12,pije,live,natural ,TSE,6,12,2,2,,,,,,,,
springsfire,2019,springs13,pije,live,natural ,TSE,1,16,1,3,,,,,,,,
springsfire,2019,springs13,pije,live,natural ,TSA,,,,,3.8,16,2,,,,,
springsfire,2019,springs14,pije,live,natural ,TSE,8,0.06,0,0,,,,,,,,
springsfire,2019,springs15,pije,live,natural ,TSE,1,6,2,1,,,,,,,,
springsfire,2019,springs16,pije,live,natural ,TSE,32,5.5,0,,,,,,,,,
springsfire,2019,springs16,pije,live,natural ,TSE,4,7,1,1,,,,,,,,
springsfire,2019,springs16,pije,live,natural ,TSE,1,9,2,2,,,,,,,,
springsfire,2019,springs16,pico,live,natural ,TSE,5,3,0,,,,,,,,,
springsfire,2019,springs16,pico,live,natural ,TSE,3,6,1,1,,,,,,,,
springsfire,2019,springs17,pije,live,natural ,TSE,2,10,2,2.5,,,,,,,,
springsfire,2019,springs17,pije,live,natural ,TSE,19,4,0,,,,,,,,,
springsfire,2019,springs17,pije,live,natural ,TSE,1,10,3,3,,,,,,,,
springsfire,2019,springs17,pije,live,natural ,TSE,1,15,5,3,,,,,,,,
springsfire,2019,springs17,pico,live,natural ,TSE,1,5,2,1,,,,,,,,
springsfire,2019,springs18,pije,live,natural ,TSE,1,4,0,0,,,,,,,,
springsfire,2019,springs18,pije,live,natural ,TSE,2,7,1,0,,,,,,,,
springsfire,2019,springs18,pije,live,natural ,TSE,1,8,2,2,,,,,,,,
springsfire,2019,springs18,pije,live,natural ,TSE,1,34,5,4,,,,,,,,
springsfire,2019,springs19,pico,live,natural ,TSE,2,6,1,2,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,3,4,0,0,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,6,6,1,0,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,2,2,2,1,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,6,10,3,2,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,4,12,4,4,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,2,30,6,4,,,,,,,,
springsfire,2019,springs20,pije,live,natural ,TSE,2,70,8,6,,,,,,,,
springsfire,2019,springs21,pije,live,natural ,TSE,1,15,5,2,,,,,,,,
springsfire,2019,springs21,pije,live,natural ,TSE,1,8,3,1,,,,,,,,
springsfire,2019,springs22,pije,live,natural ,TSE,2,14,3,3,,,,,,,,
springsfire,2019,springs22,pije,live,natural ,TSE,1,18,4,3,,,,,,,,
springsfire,2019,springs23,pije,live,natural ,TSE,12,6,0,,,,,,,,,
springsfire,2019,springs24,pije,live,natural ,TSE,1,4,1,0,,,,,,,,
springsfire,2019,springs24,pije,live,natural ,TSE,2,9,3,1,,,,,,,,
springsfire,2019,springs24,pije,live,natural ,TSE,1,10,4,2,,,,,,,,
springsfire,2019,springs24,pije,live,natural ,TSA,1,,,15,3.5,14,1.85,,,,,
springsfire,2019,springs25,pije,live,natural ,TSE,see notes,,,,,,,,,,,"there were no seedlings in regen but there were 5 pije seedlings just outside of regen, 7 yrs old 1.4m tall"
springsfire,2019,springs26,pico,live,natural ,TSE,1,6,0,0,,,,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,9,1.5,8,2,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,11,4.1,10,2,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,17,2.7,13,2,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,25,2.6,15,2.6,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,10,3.8,16,3,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,10,5.4,19,3.2,,,,,
springsfire,2019,springs26,pije,live,natural ,TSA,,,,10,5.4,20,3.2,,,,,
