site,plotid,species,status,lifeform,layercode,%,
springsfire,springs1,araret,live,FB,,tr,
springsfire,springs1,artr,live,SH,SM,5,
springsfire,springs1,artr,live,SH,SL,10,
springsfire,springs1,elci,live,GR,,tr,
springsfire,springs1,elel,live,GR,,tr,
springsfire,springs1,gaydif,live,FB,,tr,
springsfire,springs1,leppun,live,SH,SL,tr,
springsfire,springs1,luparg,live,FB,,tr,
springsfire,springs1,penspe,live,FB,,tr,
springsfire,springs1,pije,live,TR,TOV,26,
springsfire,springs1,pije,live,TR,TSE,tr,
springsfire,springs1,putr,live,SH,SM,5,
springsfire,springs1,putr,live,SH,SL,8,
springsfire,springs1,putr,dead,SH,SL,tr,
springsfire,springs1,putr,dead,SH,SM,tr,
springsfire,springs1,steten,live,FB,,tr,
springsfire,springs2,araret,live,FB,,tr,
springsfire,springs2,araret,live,FB,,tr,
springsfire,springs2,artr,live,SH,SL,tr,
springsfire,springs2,elci,live,GR,,tr,
springsfire,springs2,elel,live,GR,,tr,
springsfire,springs2,gaydif,live,FB,,tr,
springsfire,springs2,leppun,live,SH,SL,1,
springsfire,springs2,luparg,live,FB,,1,
springsfire,springs2,lupobu,live,FB,,tr,
springsfire,springs2,pije,live,TR,TOV,20,
springsfire,springs2,pije,live,TR,TSA,0.5,
springsfire,springs2,pije,live,TR,TSE,tr,
springsfire,springs2,putr,live,SH,SL,15,
springsfire,springs2,putr,live,SH,SM,10,
springsfire,springs2,putr,dead,SH,SL,1,
springsfire,springs2,steten,live,FB,,tr,
springsfire,springs3,araret,live,FB,,tr,
springsfire,springs3,araret,live,FB,,tr,
springsfire,springs3,artr,live,SH,SL,tr,
springsfire,springs3,artr,live,SH,SM,tr,
springsfire,springs3,elci,live,GR,,tr,
springsfire,springs3,elel,live,GR,,tr,
springsfire,springs3,gaydif,live,FB,,tr,
springsfire,springs3,leppun,live,SH,SL,tr,
springsfire,springs3,luparg,live,FB,,tr,
springsfire,springs3,pije,live,TR,TOV,40,
springsfire,springs3,pije,live,TR,TSE,tr,
springsfire,springs3,putr,live,SH,SL,20,
springsfire,springs3,putr,live,SH,SM,15,
springsfire,springs3,putr,dead,SH,SL,tr,
springsfire,springs3,steten,live,FB,,tr,
springsfire,springs4,elci,live,GR,,tr,
springsfire,springs4,elel,live,GR,,tr,
springsfire,springs4,gaydif,live,FB,,tr,
springsfire,springs4,leppun,live,SH,SL,tr,
springsfire,springs4,phahas,live,FB,,tr,
springsfire,springs4,pije,live,TR,TOV,6,
springsfire,springs4,pije,live,TR,TSE,tr,
springsfire,springs4,putr,live,SH,SL,10,
springsfire,springs4,putr,live,SH,SM,9,
springsfire,springs4,putr,dead,SH,SL,tr,
springsfire,springs4,rice,live,SH,SL,tr,
springsfire,springs4,rice,live,SH,SM,tr,
springsfire,springs5,araret,live,FB,,tr,
springsfire,springs5,boragespp,live,FB,,tr,
springsfire,springs5,elci,live,GR,,tr,
springsfire,springs5,elel,live,GR,,tr,
springsfire,springs5,eridav,live,FB,,tr,
springsfire,springs5,gaydif,live,FB,,tr,
springsfire,springs5,pije,live,TR,TOV,30,
springsfire,springs5,pije,live,TR,TSE,tr,
springsfire,springs5,putr,live,SH,SL,15,
springsfire,springs5,putr,live,SH,SM,14,
springsfire,springs5,putr,dead,SH,SL,tr,
springsfire,springs6,calumb,live,FB,,tr,
springsfire,springs6,elci,live,GR,,tr,
springsfire,springs6,elel,live,GR,,tr,
springsfire,springs6,eridis,live,SH,SL,tr,
springsfire,springs6,gaydif,live,FB,,tr,
springsfire,springs6,gayophytum,live,FB,,tr,
springsfire,springs6,leppun,live,SH,SL,tr,
springsfire,springs6,mimnan,live,FB,,tr,
springsfire,springs6,phahas,live,FB,,tr,
springsfire,springs6,pico,live,TR,TOV,41,
springsfire,springs6,pico,live,TR,TSE,tr,
springsfire,springs6,pico,dead,TR,TOV,tr,
springsfire,springs6,pico,live,TR,TSA,1,
springsfire,springs6,pije,live,TR,TSE,tr,
springsfire,springs6,putr,live,SH,SL,12,
springsfire,springs6,putr,live,SH,SM,tr,
springsfire,springs6,putr,dead,SH,SL,tr,
springsfire,springs7,araret,live,FB,,tr,
springsfire,springs7,elci,live,GR,,tr,
springsfire,springs7,elel,live,GR,,2,
springsfire,springs7,gaydif,live,FB,,tr,
springsfire,springs7,leppun,live,SH,SL,tr,
springsfire,springs7,phahas,live,FB,,tr,
springsfire,springs7,pico,live,TR,TSE,1,
springsfire,springs7,pico,live,TR,TSA,tr,
springsfire,springs7,pico,live,TR,TOV,30,
springsfire,springs7,pico,dead,tr,TOV,,
springsfire,springs7,putr,live,SH,SL,tr,
springsfire,springs8,araret,live,FB,,tr,
springsfire,springs8,artr,live,SH,SL,tr,
springsfire,springs8,artr,live,SH,SM,tr,
springsfire,springs8,elci,live,GR,,tr,
springsfire,springs8,elel,live,GR,,1,
springsfire,springs8,eridis,live,SH,SL,tr,
springsfire,springs8,eriumb,live,FB,,tr,
springsfire,springs8,gaydif,live,FB,,tr,
springsfire,springs8,leppun,live,SH,SL,tr,
springsfire,springs8,phahas,live,FB,,tr,
springsfire,springs8,pico,live,TR,TSE,tr,
springsfire,springs8,pico,live,TR,TSA,1,
springsfire,springs8,pico,live,TR,TOV,35,
springsfire,springs8,pije,live,TR,TOV,tr,
springsfire,springs8,pije,live,TR,TSA,tr,
springsfire,springs8,putr,live,SH,SL,7,
springsfire,springs8,putr,live,SH,SM,5,
springsfire,springs8,steten,live,FB,,tr,
springsfire,springs9,araret,live,FB,,tr,
springsfire,springs9,calumb,live,FB,,tr,
springsfire,springs9,elci,live,GR,,tr,
springsfire,springs9,elel,live,GR,,tr,
springsfire,springs9,eridis,live,SH,SL,tr,
springsfire,springs9,eriumb,live,FB,,tr,
springsfire,springs9,gaydif,live,FB,,tr,
springsfire,springs9,leppun,live,SH,SL,tr,
springsfire,springs9,luparg,live,FB,,tr,
springsfire,springs9,luplep,live,FB,,tr,
springsfire,springs9,phahas,live,FB,,tr,
springsfire,springs9,pico,live,TR,TOV,24,
springsfire,springs9,pico,live,TR,TSA,tr,
springsfire,springs9,pico,dead,TR,TOV,tr,
springsfire,springs9,pico,live,TR,TSE,tr,
springsfire,springs9,putr,live,SH,SL,7,
springsfire,springs9,putr,live,SH,SM,6,
springsfire,springs9,putr,dead,SH,SL,1,
springsfire,springs9,putr,dead,SH,SM,tr,
springsfire,springs10,calumb ,live,FB,,tr,
springsfire,springs10,elci,live,GR,,tr,
springsfire,springs10,elel,live,GR,,tr,
springsfire,springs10,gaydif,live,FB,,tr,
springsfire,springs10,leppun,live,SH,SL,tr,
springsfire,springs10,pico,live,TR,TSE,tr,
springsfire,springs10,pico,live,TR,TOV,48,
springsfire,springs10,pico,live,TR,TSA,tr,
springsfire,springs10,pije,live,TR,TOV,2,
springsfire,springs10,putr,live,SH,SL,4.5,
springsfire,springs10,putr,live,SH,SM,4.5,
springsfire,springs10,putr,dead,SH,SL,tr,
springsfire,springs10,rice,live,SH,SL,0.5,
springsfire,springs10,rice,live,SH,SM,0.5,
springsfire,springs11,arapla,live,FB,,tr,
