site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs1,1,live,pije,38.3,14.7,7.6,,IN,2,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs1,2,live,pije,34.9,11.3,3,,IN,1.5,,,,,,,,,,,
springsfire,springs1,3,live,pije,37.7,15.5,7.5,,IN,1.5,,,,,,,,,,,
springsfire,springs1,4,live,pije,41.7,14,4,,IN,1.5,,,,,,,,,,,
springsfire,springs1,5,live,pije,63.5,19,6,,CO,3,2.5,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,54,0.33,3,,,,,,stump
springsfire,springs1,,stump,pije,,,,,,,,,17,0.18,4,,,,,,
springsfire,springs1,6,live,pije,45.9,16,6,,IN,1.5,,,,,,,,7,1,,
springsfire,springs1,,stump,pije,,,,,,,,,19,0.08,4,,,,,,
springsfire,springs1,7,live,pije,31.6,9,3,,IN,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,17,0.13,4,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,28,0.11,?,,,,,,
springsfire,springs1,8,live,pije,40,14,5,,CO,1.5,,,,,,,,,,,
springsfire,springs1,9,live,pije,35.6,13.6,3,,CO,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,51,0.72,4,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,13,0.9,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,36,0.35,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,48,0.7,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,44,0.26,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,15,0.17,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,31,0.23,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,40,0.24,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,52,0.3,2,,,,,,
springsfire,springs1,10,live,pije,46.5,16,6,,CO,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,44,0.2,4,,,,,,
springsfire,springs1,11,live,pije,35.2,13,3,,IN,1.5,,,,,,,,,,,
springsfire,springs2,12,live,pije,41.6,14.5,3.2,,CO,2,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs2,,stump,pije,,,,,,,,,26,0.23,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,34,0.36,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,11,0.26,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,10,0.25,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,62,0.4,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,22,0.17,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,24,0.19,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,65,0.36,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,17,0.2,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,0.26,,20,0.26,1,,,,,,
springsfire,springs2,13,live,pije,38.9,14.9,missing,,CO,2,3,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.22,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,31,0.23,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,10,0.15,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,12,0.16,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,12,0.14,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,24,0.16,5,,,,,,
springsfire,springs2,14,live,pije,30.2,9.3,3,,CO,1.25,,,,,,,,,,,
springsfire,springs2,15,live,pije,52.3,13.6,4,,CO,3,,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.14,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,15,0.17,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.15,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,43,0.18,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,16,0.25,5,,,,,,
springsfire,springs2,16,live,pije,33,13.3,3,,CO,1.5,,,,,,,,,,,
springsfire,springs2,17,live,pije,39.9,11,3,,CO,3.5,,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,17,0.27,4,,,,,,
springsfire,springs3,18,live,pije,32,8.1,4.1,,,1.5,2,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs3,,stump,pije,,,,,,,,,27,0.18,4,,,,,,
springsfire,springs3,19,live,pije,27.8,8,3,,IN,2.5,,,,,,,,,,,
springsfire,springs3,20,live,pije,52.5,16,5.5,,CO,4.5,,,,,,,,,,,
springsfire,springs3,21,live,pije,72.2,19.8,3.8,,DO,5.5,,,,,,,,,,,
springsfire,springs3,22,live,pije,42.2,12.5,3,,CO,4,1.5,,,,,,,,,,
springsfire,springs3,23,live,pije,28,7.4,2.3,,IN,2,1.5,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,21,0.23,1,,,,,,
springsfire,springs3,24,live,pije,30.6,9.2,3,,IN,3,,,,,,,,,,,
springsfire,springs3,25,live,pije,54.5,18.1,5.1,,CO,4,,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,10,0.26,4,,,,,,
springsfire,springs3,26,live,pije,27.2,7.3,2.2,,IN,3,,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,39,0.22,4,,,,,,
