plot_id,inv_date,status,species,dbh_cm
springs1,8/1/2019,live,pije,38.3
springs1,8/1/2019,live,pije,34.9
springs1,8/1/2019,live,pije,37.7
springs1,8/1/2019,live,pije,41.7
springs1,8/1/2019,live,pije,63.5
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,live,pije,45.9
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,live,pije,31.6
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,live,pije,40
springs1,8/1/2019,live,pije,35.6
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,live,pije,46.5
springs1,8/1/2019,stump,pije,
springs1,8/1/2019,live,pije,35.2
springs2,8/1/2019,live,pije,41.6
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,live,pije,38.9
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,live,pije,30.2
springs2,8/1/2019,live,pije,52.3
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,stump,pije,
springs2,8/1/2019,live,pije,33
springs2,8/1/2019,live,pije,39.9
springs2,8/1/2019,stump,pije,
springs3,8/1/2019,live,pije,32
springs3,8/1/2019,stump,pije,
springs3,8/1/2019,live,pije,27.8
springs3,8/1/2019,live,pije,52.5
springs3,8/1/2019,live,pije,72.2
springs3,8/1/2019,live,pije,42.2
springs3,8/1/2019,live,pije,28
springs3,8/1/2019,stump,pije,
springs3,8/1/2019,live,pije,30.6
springs3,8/1/2019,live,pije,54.5
springs3,8/1/2019,stump,pije,
springs3,8/1/2019,live,pije,27.2
springs3,8/1/2019,stump,pije,
springs3,8/1/2019,live,pije,39.5
springs3,8/1/2019,stump,pije,
springs4,8/1/2019,live,pije,41
springs4,8/1/2019,live,pije,39.4
springs4,8/1/2019,stump,pije,
springs4,8/1/2019,live,pije,41.5
springs4,8/1/2019,stump,pije,
springs4,8/1/2019,stump,pije,
springs4,8/1/2019,stump,pije,
springs5,8/1/2019,live,pije,65.3
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,live,pije,64.3
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,live,pije,45.9
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,live,pije,68.6
springs5,8/1/2019,live,pije,50.3
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs5,8/1/2019,stump,pije,
springs6,8/1/2019,live,pico,13.3
springs6,8/1/2019,live,pico,39
springs6,8/1/2019,live,pico,7.8
springs6,8/1/2019,live,pico,12.1
springs6,8/1/2019,live,pico,10
springs6,8/1/2019,live,pico,14.6
springs6,8/1/2019,live,pico,7.8
springs6,8/1/2019,live,pico,17.4
springs6,8/1/2019,live,pico,14.3
springs6,8/1/2019,live,pico,10.9
springs6,8/1/2019,live,pico,17.8
springs6,8/1/2019,live,pico,31.6
springs6,8/1/2019,live,pico,7.7
springs6,8/1/2019,live,pico,15.7
springs6,8/1/2019,live,pico,9.1
springs6,8/1/2019,live,pico,9.3
springs6,8/1/2019,live,pico,8
springs6,8/1/2019,live,pico,9.2
springs6,8/1/2019,live,pico,68.9
springs6,8/1/2019,dead,pico,16.1
springs6,8/1/2019,live,pico,19.6
springs6,8/1/2019,live,pico,17.1
springs6,8/1/2019,live,pico,19.3
springs6,8/1/2019,live,pico,15.5
springs6,8/1/2019,live,pico,36
springs6,8/1/2019,live,pico,12.9
springs6,8/1/2019,live,pico,36.5
springs6,8/1/2019,live,pico,49.4
springs6,8/1/2019,live,pico,20.3
springs7,8/1/2019,live,pico,33.3
springs7,8/1/2019,live,pico,14.3
springs7,8/1/2019,live,pico,23.8
springs7,8/1/2019,live,pico,13.9
springs7,8/1/2019,stump,pico,
springs7,8/1/2019,live,pico,15.8
springs7,8/1/2019,live,pico,14.9
springs7,8/1/2019,live,pico,16.6
springs7,8/1/2019,stump,pico,
springs7,8/1/2019,stump,pico,
springs7,8/1/2019,live,pico,52.3
springs7,8/1/2019,stump,pico,
springs7,8/1/2019,live,pico,31
springs7,8/1/2019,live,pico,52.3
springs7,8/1/2019,live,pico,44.3
springs7,8/1/2019,live,pico,15.8
springs7,8/1/2019,dead,pico,12
springs7,8/1/2019,live,pico,18.8
springs7,8/1/2019,live,pico,48.5
springs7,8/1/2019,live,pico,50.6
springs7,8/1/2019,stump,pico,
springs7,8/1/2019,live,pico,72.4
springs7,8/1/2019,live,pico,45.4
springs8,8/1/2019,live,pico,59.6
springs8,8/1/2019,live,pije,47.9
springs8,8/1/2019,live,pije,8.2
springs8,8/1/2019,live,pico,28.7
springs8,8/1/2019,live,pico,48.1
springs8,8/1/2019,live,pico,56.8
springs8,8/1/2019,live,pico,12.8
springs8,8/1/2019,live,pije,11.6
springs8,8/1/2019,live,pije,57.7
springs8,8/1/2019,live,pije,47.4
springs8,8/1/2019,live,pico,29.2
springs8,8/1/2019,live,pico,11.8
springs8,8/1/2019,live,pije,46.1
springs8,8/1/2019,live,pije,13.7
springs8,8/1/2019,live,pije,23
springs8,8/1/2019,live,pije,22.5
springs8,8/1/2019,live,pije,9.9
springs10,8/1/2019,live,pico,55.9
springs10,8/1/2019,live,pije,16.1
springs10,8/1/2019,live,pico,44.5
springs10,8/1/2019,live,pico,8.1
springs10,8/1/2019,live,pije,33.7
springs10,8/1/2019,live,pico,75.3
springs10,8/1/2019,live,pico,21.4
springs10,8/1/2019,live,pico,13.8
springs10,8/1/2019,live,pico,65.4
springs10,8/1/2019,live,pico,40.7
springs10,8/1/2019,live,pico,47.3
springs10,8/1/2019,live,pico,40.5
springs10,8/1/2019,live,pico,18.9
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,live,pije,34
springs11,8/1/2019,live,pije,35.1
springs11,8/1/2019,live,pije,27.9
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,live,pije,54.7
springs11,8/1/2019,stump,pije,
springs11,8/1/2019,live,pije,94
springs12,8/1/2019,stump,pije,
springs12,8/1/2019,live,pije,32.9
springs12,8/1/2019,live,pije,66.6
springs12,8/1/2019,stump,pije,
springs12,8/1/2019,live,pije,40.5
springs12,8/1/2019,live,pije,32.5
springs12,8/1/2019,live,pije,53.5
springs12,8/1/2019,live,pije,47.3
springs12,8/1/2019,live,pije,35.3
springs12,8/1/2019,live,pije,37.5
springs12,8/1/2019,stump,pije,
springs12,8/1/2019,stump,pije,
springs12,8/1/2019,live,pije,30.7
springs12,8/1/2019,stump,pije,
springs13,8/1/2019,stump,pije,
springs13,8/1/2019,live,pije,38.4
springs13,8/1/2019,stump,pije,
springs13,8/1/2019,live,pije,40.9
springs13,8/1/2019,live,pije,9.6
springs13,8/1/2019,live,pije,15
springs13,8/1/2019,live,pije,40.7
springs14,8/1/2019,live,pije,31.5
springs14,8/1/2019,live,pije,33.1
springs14,8/1/2019,live,pije,32.9
springs14,8/1/2019,stump,pije,
springs14,8/1/2019,live,pije,40.8
springs14,8/1/2019,stump,pije,
springs14,8/1/2019,stump,pije,
springs14,8/1/2019,live,pije,69.4
springs14,8/1/2019,live,pije,23.6
springs14,8/1/2019,live,pije,34.8
springs14,8/1/2019,live,pije,51.9
springs14,8/1/2019,live,pije,30.7
springs14,8/1/2019,stump,pije,
springs14,8/1/2019,live,pije,30.3
springs15,8/1/2019,live,pije,56.1
springs15,8/1/2019,live,pije,57.6
springs15,8/1/2019,live,pije,45.3
springs15,8/1/2019,live,pije,29.6
springs15,8/1/2019,live,pije,21.3
springs15,8/1/2019,live,pije,10.8
springs15,8/1/2019,stump,pije,
springs15,8/1/2019,live,pije,33.5
springs16,8/1/2019,live,pije,53.1
springs16,8/1/2019,live,pije,73.3
springs16,8/1/2019,live,pije,0.5
springs16,8/1/2019,live,pije,35.3
springs16,8/1/2019,live,pije,64.6
springs17,8/1/2019,live,pije,54.1
springs17,8/1/2019,live,pije,57.5
springs17,8/1/2019,stump,pije,
springs17,8/1/2019,stump,pije,
springs17,8/1/2019,stump,pije,
springs17,8/1/2019,live,pije,52.1
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,live,pije,38.2
springs18,8/1/2019,live,pije,41.6
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,live,pije,44.8
springs18,8/1/2019,live,pije,50
springs18,8/1/2019,live,pije,49
springs18,8/1/2019,live,pije,48
springs18,8/1/2019,live,pije,45.7
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,stump,pije,
springs18,8/1/2019,live,pije,28.7
springs18,8/1/2019,live,pije,38.4
springs18,8/1/2019,stump,pije,
springs19,8/1/2019,live,pije,39.5
springs19,8/1/2019,live,pije,42.1
springs19,8/1/2019,live,pije,57.9
springs19,8/1/2019,live,pije,44.5
springs19,8/1/2019,stump,pije,
springs19,8/1/2019,live,pije,41.5
springs19,8/1/2019,live,pije,39.9
springs19,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,live,pije,11.2
springs20,8/1/2019,live,pije,36.4
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,live,pije,47
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,live,pije,34.95
springs20,8/1/2019,live,pije,45.6
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,live,pije,38.7
springs20,8/1/2019,stump,pije,
springs20,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,live,pije,28.5
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,live,pije,51.4
springs21,8/1/2019,live,pije,45
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,live,pije,42.6
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,live,pije,41.8
springs21,8/1/2019,live,pije,35.3
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,stump,pije,
springs21,8/1/2019,dead,pije,
springs21,8/1/2019,live,pije,42
springs21,8/1/2019,live,pije,29.5
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,47.5
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,53.5
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,40.7
springs22,8/1/2019,live,pije,47.6
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,46.1
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,35.2
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,live,pije,52.2
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs22,8/1/2019,stump,pije,
springs23,8/1/2019,live,pije,24.5
springs23,8/1/2019,live,pije,41.6
springs23,8/1/2019,live,pije,56.5
springs23,8/1/2019,stump,pije,
springs23,8/1/2019,live,pije,52.9
springs23,8/1/2019,stump,pije,
springs23,8/1/2019,stump,pije,
springs23,8/1/2019,live,pije,38.9
springs23,8/1/2019,stump,pije,
springs23,8/1/2019,stump,pije,45.85
springs23,8/1/2019,stump,pije,
springs24,8/1/2019,stump,pije,
springs24,8/1/2019,live,pije,58.5
springs24,8/1/2019,stump,pije,
springs24,8/1/2019,live,pije,48.3
springs24,8/1/2019,stump,pije,
springs24,8/1/2019,live,pije,23.9
springs24,8/1/2019,stump,pije,
springs24,8/1/2019,live,pije,43.5
springs24,8/1/2019,live,pije,39.1
springs24,8/1/2019,stump,pije,
springs24,8/1/2019,live,pije,50.8
springs25,8/1/2019,live,pije,32.6
springs25,8/1/2019,live,pije,48.2
springs25,8/1/2019,live,pije,37.5
springs25,8/1/2019,stump,pije,
springs25,8/1/2019,stump,pije,
springs26,8/1/2019,live,pico,14
springs26,8/1/2019,live,pico,14.7
springs26,8/1/2019,live,pico,8.8
springs26,8/1/2019,live,pico,27.85
springs26,8/1/2019,live,pico,23.4
springs26,8/1/2019,live,pije,61.2
springs26,8/1/2019,live,pije,17.75
springs26,8/1/2019,live,pico,13.3
springs26,8/1/2019,live,pije,28.3
springs26,8/1/2019,live,pije,40.5
springs26,8/1/2019,live,pije,8.2
springs26,8/1/2019,live,pije,9.1
springs26,8/1/2019,live,pico,39.3
springs26,8/1/2019,live,pico,25.9
springs26,8/1/2019,live,pije,11.85
springs26,8/1/2019,live,pije,8.9
springs26,8/1/2019,live,pije,10
springs26,8/1/2019,live,pije,8.1
springs26,8/1/2019,live,pije,60.5
springs26,8/1/2019,live,pico,25.5
springs26,8/1/2019,live,pico,29.3
springs26,8/1/2019,live,pije,9.2
springs26,8/1/2019,live,pije,10.3
springs26,8/1/2019,live,pije,20.1
springs26,8/1/2019,live,pije,20.55
springs26,8/1/2019,live,pije,15.5
springs26,8/1/2019,live,pije,46.2
springs26,8/1/2019,dead,pico,84.1
springs26,8/1/2019,live,pico,21.7
springs26,8/1/2019,dead,pico,15.3
springs26,8/1/2019,live,pico,39.2
springs26,8/1/2019,live,pico,16.6
springs26,8/1/2019,live,,7.8
springs27,8/1/2019,live,pije,49.7
springs27,8/1/2019,live,pije,30.2
springs27,8/1/2019,stump,pije,
springs27,8/1/2019,live,pije,19.4
springs27,8/1/2019,dead,pico,31
springs27,8/1/2019,dead,pico,16.9
springs27,8/1/2019,live,pico,46.5
springs27,8/1/2019,live,pije,10.1
springs27,8/1/2019,live,pije,34.8
springs27,8/1/2019,live,pije,40.2
springs27,8/1/2019,dead,pije,10
springs27,8/1/2019,live,pije,23.5
springs27,8/1/2019,live,pico,35.1
springs27,8/1/2019,live,pije,16.9
springs27,8/1/2019,live,pije,23.4
springs27,8/1/2019,live,pije,9.2
springs27,8/1/2019,live,pije,11.6
springs27,8/1/2019,live,pije,15.5
