site,year,plot_id,azimuth,intersect,large,small,length,decay,notes
,,,,cm,cm,cm,m,,
springsfire,2019,springs1,W,32,20,17,2.3,3,
springsfire,2019,springs1,E,13,13,5,1.4,3,
springsfire,2019,springs11,S,12.5,13.5,8,2.8,3,
springsfire,2019,springs11,E,7.6,13,3,0.45,3,
springsfire,2019,springs11,E,8,8,5,0.15,3,
springsfire,2019,springs12,W,8.5,8.5,6,0.25,3,
springsfire,2019,springs13,E,10.5,3,10.5,0.6,2,
springsfire,2019,springs13,E,8.5,2,8.5,0.17,3,
springsfire,2019,springs13,E,8,10,4,1.3,2,
springsfire,2019,springs14,N,32.6,20.2,5.7,10.35,2,
springsfire,2019,springs16,E,15,19,10,0.66,4,
springsfire,2019,springs17,N,11.5,15,6,2,2,
springsfire,2019,springs17,N,12,13.5,3,1.05,2,
springsfire,2019,springs18,W,10,14,5,0.6,3,
springsfire,2019,springs18,W,14,14,4,1.6,2,
springsfire,2019,springs18,E,22,24,9,1.3,2,
springsfire,2019,springs19,S,8,8,6,28,4,
springsfire,2019,springs19,W,13.5,14,3,0.9,2,
springsfire,2019,springs19,W,12,14,3,0.45,3,
springsfire,2019,springs22,S,20,22,11,2.9,2,
springsfire,2019,springs26,N,13,10,8,1.55,2,
springsfire,2019,springs26,N,6.8,6.9,6.8,1.18,2,
springsfire,2019,springs26,E,11,10,8,1.88,3,
springsfire,2019,springs26,W,9,13,9,0.25,3,
springsfire,2019,springs26,W,13,13,9,2.45,3,
springsfire,2019,spring24,N,9,4,11,0.8,3,
springsfire,2019,spring25,W,10,11,8,0.33,3,
springsfire,2019,spring4,N,12,12,8,1.15,3,
